day,buzz,positive_buzz,negative_buzz,quality,postive_quality,negative_quality,impression,positive_impression,negative_impression,value,positive_value,negative_value,reputation,positive_reputation,negative_reputation,satisfaction,positive_satisfaction,negative_satisfaction,recommend,positive_recommend,negative_recommend,awareness,attention,ad_awareness,wom_exposure,consideration,purchase_intent
2017-08-18,542.181979,542.181979,542.181979,542.181979,542.181979,542.181979,542.181979,542.181979,542.181979,542.181979,542.181979,542.181979,542.181979,542.181979,542.181979,542.181979,542.181979,542.181979,542.181979,542.181979,542.181979,542.181979,542.181979,542.181979,542.181979,542.181979,542.181979
2017-08-19,541.334714,541.334714,541.334714,541.334714,541.334714,541.334714,541.334714,541.334714,541.334714,541.334714,541.334714,541.334714,541.334714,541.334714,541.334714,541.334714,541.334714,541.334714,541.334714,541.334714,541.334714,541.334714,541.334714,541.334714,541.334714,541.334714,541.334714
2017-08-20,547.207254,547.207254,547.207254,547.207254,547.207254,547.207254,547.207254,547.207254,547.207254,547.207254,547.207254,547.207254,547.207254,547.207254,547.207254,547.207254,547.207254,547.207254,547.207254,547.207254,547.207254,547.207254,547.207254,547.207254,547.207254,547.207254,547.207254
2017-08-21,556.226047,556.226047,556.226047,556.226047,556.226047,556.226047,556.226047,556.226047,556.226047,556.226047,556.226047,556.226047,556.226047,556.226047,556.226047,556.226047,556.226047,556.226047,556.226047,556.226047,556.226047,556.226047,556.226047,556.226047,556.226047,556.226047,556.226047
2017-08-22,565.730336,565.730336,565.730336,565.730336,565.730336,565.730336,565.730336,565.730336,565.730336,565.730336,565.730336,565.730336,565.730336,565.730336,565.730336,565.730336,565.730336,565.730336,565.730336,565.730336,565.730336,565.730336,565.730336,565.730336,565.730336,565.730336,565.730336
2017-08-23,550.579984,550.579984,550.579984,550.579984,550.579984,550.579984,550.579984,550.579984,550.579984,550.579984,550.579984,550.579984,550.579984,550.579984,550.579984,550.579984,550.579984,550.579984,550.579984,550.579984,550.579984,550.579984,550.579984,550.579984,550.579984,550.579984,550.579984
2017-08-24,547.315247,547.315247,547.315247,547.315247,547.315247,547.315247,547.315247,547.315247,547.315247,547.315247,547.315247,547.315247,547.315247,547.315247,547.315247,547.315247,547.315247,547.315247,547.315247,547.315247,547.315247,547.315247,547.315247,547.315247,547.315247,547.315247,547.315247
2017-08-25,538.478112,538.478112,538.478112,538.478112,538.478112,538.478112,538.478112,538.478112,538.478112,538.478112,538.478112,538.478112,538.478112,538.478112,538.478112,538.478112,538.478112,538.478112,538.478112,538.478112,538.478112,538.478112,538.478112,538.478112,538.478112,538.478112,538.478112
2017-08-26,553.337353,553.337353,553.337353,553.337353,553.337353,553.337353,553.337353,553.337353,553.337353,553.337353,553.337353,553.337353,553.337353,553.337353,553.337353,553.337353,553.337353,553.337353,553.337353,553.337353,553.337353,553.337353,553.337353,553.337353,553.337353,553.337353,553.337353
2017-08-27,551.638567,551.638567,551.638567,551.638567,551.638567,551.638567,551.638567,551.638567,551.638567,551.638567,551.638567,551.638567,551.638567,551.638567,551.638567,551.638567,551.638567,551.638567,551.638567,551.638567,551.638567,551.638567,551.638567,551.638567,551.638567,551.638567,551.638567
