Brand,Media L1,Media L2,Message,Objective,Cost Type,Confirm VAT,Confirm CTC,wc Mon,Impressions,Clicks,Spend,Comment
ClientBrand,Paid Social,Pinterest,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2021-02-15,316873,6033,525.4843962,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2021-02-22,1239580,23153,5565.0954774,
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2021-02-22,0,0,0.0,
ClientBrand,Paid Social,Pinterest,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2021-02-22,314891,5559,524.4521208,
ClientBrand,Paid Social,Meta,Unclassified,Conversions,Platform and Fees,EXCLUDING,CTC,2021-03-01,162506,3296,1189.346419,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2021-03-01,1481204,35535,6457.803337599999,
ClientBrand,Paid Social,Pinterest,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2021-03-01,242862,4250,377.9373108,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2021-03-08,2277959,40348,10597.6764956,
ClientBrand,Paid Social,Pinterest,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2021-03-08,322844,5665,567.7905013999999,
ClientBrand,Paid Social,Twitter,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2021-03-08,441849,221,1354.9056843421397,
ClientBrand,Paid Social,Meta,Unclassified,Engagement,Platform and Fees,EXCLUDING,CTC,2021-03-15,12857,32,244.8489272,
ClientBrand,Paid Social,Meta,Unclassified,Event responses,Platform and Fees,EXCLUDING,CTC,2021-03-15,39807,90,558.5867357999999,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2021-03-15,3293561,64183,18392.897698599998,
